id	pubchemid	casrn	solubility_logs	standard_deviation
RID00116	CID:3120	CAS:330-54-1	-3.7443	1.227163939382309
RID00053	CID:15910	CAS:1897-45-6	-5.6466	0.630481220092152
RID00129	CID:3610	CAS:136-77-6	-2.5895	0.07340166790000002
RID00302	CID:712	CAS:50-00-0	1.1206	0.0
RID00222	CID:5329	CAS:723-46-6	-2.6183	0.24905148508335034
RID00240	CID:5578	CAS:738-70-5	-2.8608	0.044600000000000195
RID00306	CID:72	CAS:99-50-3	-0.9278	0.0
RID00323	CID:8468	CAS:121-34-6	-2.0496	0.0
RID00036	CID:13450	CAS:886-50-0	-3.9847	0.007649999999999935
RID00316	CID:798	CAS:120-72-9	-1.21	0.1536480010500001
RID00185	CID:5216	CAS:122-34-9	-4.55	0.20773373759489586
RID00037	CID:135398513	CAS:59277-89-3	-2.12	0.01154999999999995
RID00040	CID:135398740	CAS:82410-32-0	-1.77	0.0
RID00279	CID:6604200	CAS:67-20-9	-3.38	0.09709359745455237
RID00074	CID:2082	CAS:54965-21-8	-4.22	0.0
RID00138	CID:4030	CAS:31431-39-7	-3.88	0.13139999999999996
RID00171	CID:4583	CAS:82419-36-1	-1.27	0.0
RID00174	CID:4650	CAS:106-51-4	-0.89	0.1832467977588937
RID00164	CID:445858	CAS:1135-24-6	-3.05	0.0
RID00144	CID:42586	CAS:57837-19-1	-1.6	0.03905000000000003
RID00102	CID:2719	CAS:54-05-7	-2.83	0.0
RID00303	CID:71482	CAS:35575-96-3	-2.47	0.0
RID00076	CID:2130	CAS:768-94-5	-1.85	0.6235825552839651
RID00123	CID:3374	CAS:42835-25-6	-3.74	0.0050000000000001155
RID00170	CID:4539	CAS:70458-96-7	-2.76	0.10000000000000009
RID00301	CID:71188	CAS:93106-60-6	-3.18	0.0
RID00192	CID:5280445	CAS:491-70-3	-3.61	0.0
RID00189	CID:5280343	CAS:117-39-5	-1.99	0.0
RID00113	CID:3039	CAS:62-73-7	-1.344	0.04864999999999997
RID00328	CID:892	CAS:87-89-8	-0.1	0.6741663164399585
RID00223	CID:5336	CAS:144-83-2	-2.7	0.6942778758457516
RID00139	CID:40326	CAS:52645-53-1	-6.29	0.7599999999999998
RID00082	CID:2337	CAS:94-09-7	-2.32	0.17944464996204268
RID00132	CID:37123	CAS:35367-38-5	-6.54	0.2598613476452396
RID00184	CID:5215	CAS:68-35-9	-2.16	0.9335811704801034
RID00080	CID:2256	CAS:1912-24-9	-3.76	0.14272175976839616
RID00107	CID:2758	CAS:470-82-6	-1.74	0.09066873772144389
RID00252	CID:6129	CAS:63-25-2	-3.2239999999999998	0.3888840423571015
RID00122	CID:3365	CAS:86386-73-4	-1.8	0.0
RID00249	CID:6024	CAS:153-61-7	-2.94	0.0
RID00104	CID:2726	CAS:50-53-3	-5.07	0.03639416925216963
RID00109	CID:2764	CAS:85721-33-1	-3.6	1.1314883649423886
RID00157	CID:4421	CAS:389-08-2	-3.61	0.20583208366692182
RID00297	CID:6989	CAS:89-83-8	-2.19	0.019221812913424226
