species_name	species_description	use_in_aquaculture	ncbi_taxid	references
Daphnia magna	A representative aquatic invertebrate considered a sensitive species and recommended by the U.S. EPA as a test organism for toxicity tests. In this context, it is used in a flow-through test system to assess the chronic toxicity and environmental risks of chemicals (like hydrogen peroxide) released from aquaculture facilities.	Research	35525	18206212
Dicentrarchus labrax	A marine fish species widely reared in intensive aquaculture systems. In this study, it serves as an experimental model to evaluate the single and combined genotoxic and cytotoxic impacts of common intensive aquaculture chemicals like formaldehyde and oxytetracycline.	Commercial	13489	21621636
Epinephelus coioides	An economically important marine aquaculture fish species widely cultured in China and Southeast Asian countries. Its commercial farming is heavily threatened by viral diseases, particularly the grouper iridovirus (GIV), which causes high mortality rates and severe financial losses to the industry.	Commercial	94232	33178170
Epinephelus fuscoguttatus x Epinephelus lanceolatus	An economically important hybrid fish species used in aquaculture. Research is conducted on this species to evaluate how dietary supplementation with Chinese herbal medicine (CHM) compounds can improve its growth performance, immune response, intestinal microbiota, and serum metabolism.	Commercial	1074816	37453492
Gadus morhua	A marine fish species frequently found near Atlantic salmon (Salmo salar) farms. In this study, it serves as a non-target species to evaluate the environmental impacts, uptake kinetics, and toxicological effects of diflubenzuron, a drug used to treat salmon lice in marine aquaculture.	Commercial/Research	8049	23836768
Gambusia holbrooki	A widely disseminated freshwater fish species native to the United States. In this context, it serves as an experimental test organism to assess the acute ecotoxicological effects such as oxidative stress, neurotoxicity, and histological changes caused by exposure to the antibiotic tetracycline in aquatic environments.	Research	37273	25475590
Goniopora columna	A species of coral that is highly susceptible to ciliate infections, which cause pathological changes such as tissue bleaching, ulceration, and the production of a jelly-like substance (brown jelly syndrome). Effective treatments (like clove extract) are being researched to curb the rapid spread and high mortality of these infections within the global aquarium trade.	Ornamental	541198	35205146
Homarus americanus	A benthic non-target arthropod that represents one of the most valuable commercial fisheries in Canada. While landings have reached all-time highs in many areas, some regions (such as LFA 25 and 26A) have shown a decline in the abundance of 1-year-old lobsters, raising concerns about future landings. Beyond its commercial importance, it is also used as a model species in scientific research to study the metabolic and developmental effects of chronic exposure to environmental contaminants.	Commercial	6706	37215181
Hybrid grouper (Mycteroperca tigris x Epinephelus lanceolatus)	A hybrid fish species cultured in saltwater net-pens that is susceptible to sea lice (Copepoda: Caligidae) infestations, which negatively impact marine aquaculture. This species is used in research to test the efficacy of the pharmaceutical drug emamectin benzoate (EB) for controlling sea lice, as limited licensed treatments exist for tropical and semi-tropical farmed fish.	Commercial		33644159
Hybrid striped bass (Morone chrysops × Morone saxatilis)	An economically important finfish species used in research to evaluate the growth-promoting effects of dietary oxytetracycline. The study concluded that oral administration of this antibiotic provided no growth-promoting benefits and did not significantly affect survival rates, suggesting no incentive for nontherapeutic use in U.S. aquaculture.	Commercial		29608688
Ictalurus punctatus	An economically important fish species in aquaculture that is susceptible to infections by the zoonotic pathogen Streptococcus iniae. It is used in research to evaluate the protective efficacy of new, environmentally friendly antibacterial agents (like thymol) against drug-resistant bacterial strains.	Commercial	7998	35733967
Labeo rohita	A freshwater Indian major carp that is widely cultivated in India due to its economic importance and ability to survive well in limited culture areas. It is a primary species contributing to freshwater fish production, though it is highly susceptible to the opportunistic pathogen Aeromonas hydrophila, which can lead to high mortality rates.	Commercial	84645	31363972
Larimichthys crocea	This species is the most productive mariculture fish in China, with an expanding aquaculture scale along the southeastern coast. However, its development has led to environmental concerns, particularly regarding the increased use of antibiotics and other chemicals.	Commercial	215358	37003497
Lates calcarifer	An economically important aquaculture species often cultured in cage systems. This species is susceptible to natural infestations by the anchor worm Lernaea sp., a crustacean bloodsucker that causes high mortality rates and significant production losses.	Commercial	8187	37193509
Lepomis macrochirus	A freshwater fish species susceptible to infections by digenean trematodes, which have complex life cycles. It is used as a model organism in research to evaluate the efficacy of injectable praziquantel for the elimination of trematode metacercariae.	Other	13106	29264719
Macrobrachium nipponense	A crustacean species often used in research to evaluate the effects of dietary supplements (such as astaxanthin) on growth and resistance to physical and chemical stress. It is a significant species in aquaculture, and scientific techniques are being applied to improve its production processes.	Commercial	159736	25720170
Macrobrachium rosenbergii	An important species in aquaculture that is susceptible to various bacterial pathogens, such as Edwardsiella spp., Vibrio spp., Aeromonas spp., Escherichia coli, and Salmonella spp.. It is used in research as a source of bacterial isolates to test the efficacy of alternative, environmentally friendly treatments like Cymbopogon nardus (citronella) essential oil against antibiotic-resistant bacteria.	Commercial	79674	23825733
Magallana gigas	An essential engineer species and shellfish reef builder that plays a vital role in coastal ecosystems. As a filter-feeder, it has been introduced worldwide and is currently one of the main aquaculture species globally, though it is sensitive to environmental stressors like climate change, pollutants, and pathogens.	Commercial	29159	39955876
Micropterus salmoides	An economically important fish species in aquaculture. It is used in research to evaluate the effectiveness of immunostimulants, such as the combination of β-glucan and Astragalus polysaccharide, against bacterial infections like Nocardia seriolae.	Commercial	27706	38835482|37894188
Monopterus albus	This is highly edible species. In this study it served as a source of Edwardsiella tarda for scientific research study 	Commercial	43700	23825733
Mylopharyngodon piceus	An economically important fish species in aquaculture. Research is conducted on this species to understand the mechanisms of chronic toxicity (such as oxidative stress and metabolic disorders) induced by pollutants like niclosamide, a commonly used molluscicide, which poses environmental risks.	Commercial	75356	38137017
Oncorhynchus gorbuscha	A fish species whose early life stages (specifically seawater-adapted fry) are at risk of exposure to aquaculture chemotherapeutants used to control sea lice. In this research, it is used as a model organism to determine both lethal (LC50) and sublethal effects (such as altered olfactory responses and behavioral avoidance) caused by exposure to five specific chemotherapeutants: hydrogen peroxide, azamethiphos, emamectin benzoate, cypermethrin, and deltamethrin.	Commercial	8017	34628582
Oncorhynchus mykiss	An economically important aquaculture species, ranking as the second most important globally. It is used as a model organism to evaluate the mitigation of dietary microplastic (MP) accumulation and oxidative stress through the supplementation of natural microencapsulated antioxidants like astaxanthin.	Commercial	8022	40218413
Oncorhynchus tshawytscha	Cell line of this fish is mentioned in this paper and this fish is highly edible. 	Commercial	74940	37758098
Oreochromis niloticus	A significant, globally farmed tropical fish species known for its strong immune system, rapid growth rate, and high tolerance to diverse environmental conditions. It serves as a model species in aquaculture research to evaluate the biochemical and oxidative stress effects of aquatic pollutants, such as copper sulphate and copper oxide nanoparticles.	Commercial/Research	8128	39163500
Oreochromis sp. (Tilapia) 	An important warm-water aquaculture species, cultured globally (including the U.S., Taiwan, and Latin America). It serves as a model organism in studies investigating emergent diseases in aquaculture, specifically piscine francisellosis caused by Francisella asiatica. Research on this species evaluates the efficacy of antibiotic treatments, such as florfenicol, to control these infections.	Commercial		20713674
Oreochromis spp. (Tilapia)	An important aquaculture species where researchers are investigating the use of the edible herb Bidens pilosa as a functional feed additive to reduce reliance on antibiotics and chemicals. Dietary supplementation (0.5% and 1%) of B. pilosa was found to significantly increase growth performance over 8 weeks, with transcriptomic analysis revealing regulation of genes and pathways involved in amino acid metabolism.	Commercial/Research		39138417
Palaemon elegans	A crustacean species inhabiting the littoral zone that is susceptible to the negative environmental impacts of antiparasitic drugs, such as teflubenzuron, used to control sea lice in salmon aquaculture. It serves as a model species in research to examine molecular and transcriptional responses to sublethal chemical exposure, particularly to determine if non-hepatopancreatic tissue can be used to assess chemical stress.	Commercial/Research	338212	28939506
Pandalus borealis	A keystone species in the marine ecosystem and a valuable commercial crustacean. It is known to have high sensitivity to anti-parasitic chemicals (specifically azamethiphos and deltamethrin) used in salmon farming. In this study, it serves as a model organism to evaluate the effects of these aquaculture pesticides, alone and in combination, and to determine the influence of natural stressors like food limitation on shrimp larvae.	Commercial	6703	32112997
Pandalus montagui	A shrimp species used in research to evaluate the accumulation, oxidative stress, and molecular (transcriptomic and metabolomic) responses to exposure to the antiparasitic insecticide teflubenzuron, which is used in salmon aquaculture. The study also assesses whether homogenized whole-shrimp specimens are suitable for examining the mechanistic effects of chemical stressors. This is also highly edible species. 	Commercial/Research	397978	30345541
Pangasianodon hypophthalmus	A fish species often used in aquaculture research to study water quality management, particularly the removal of ammonia in culture systems. In this study, it serves as a model organism to evaluate the efficiency of natural and chemically modified stilbite (a zeolite mineral) for ammonia removal under controlled laboratory conditions.	Commercial	310915	36882549
Paracentrotus lividus	A species utilized as a model organism in marine toxicology to monitor the toxicity of effluents from land-based marine fish farms. It is used in sea urchin embryo bioassays to evaluate the developmental effects of various chemicals associated with aquaculture, including antibiotics (like amoxicillin, flumequine, oxytetracycline) and disinfectants (like sodium hypochlorite and formaldehyde). It is highly edible and considered a gastronomic delicacy. 	Commercial/Research	7656	22562751
Paralichthys olivaceus	The most popular and economically significant aquaculture species in Korea. It is severely impacted by viral hemorrhagic septicemia virus (VHSV), which causes high mortality rates and constitutes 12.5% of olive flounder mortalities in Korea. It serves as a model species in experimental research to evaluate the antiviral effects of compounds like umbelliferone (7-hydroxycoumarin) as potential drug candidates for disease prevention.	Commercial	8255	39009196
Penaeus monodon	An economically important aquaculture species. Its larviculture is often threatened by luminescence diseases caused by pathogenic Vibrio harveyi bacteria. It is used as a model species in research to test the efficacy of natural extracts (such as Ulva fasciata) in reducing bacterial growth and virulence factors to enhance shrimp survival.	Commercial	6687	34097104
Penaeus vannamei	An economically vital species for the global aquaculture market, accounting for approximately US$20 billion. Its farming is heavily threatened by fatal infectious diseases, including white spot disease, hepatopancreatic microsporidiosis, and acute hepatopancreatic necrosis disease (AHPND), leading to major economic losses. It is widely used in experimental research to test therapeutic agents against pathogenic strains of Vibrio bacteria.	Commercial	6689	34952588
Perna canaliculus	A species of bivalve used in aquaculture. Research is conducted on this species to assess the potential negative physiological effects of candidate ascidian antifoulant compounds. 	Commercial	38949	23194394
Piaractus mesopotamicus	The second most produced native fish species in Brazil. It serves as a model species in aquaculture research to evaluate the efficacy of therapeutic agents, such as teflubenzuron, for treating ectoparasitic infections like Trichodina spp.. Additionally, its acute toxicity levels to these therapeutic agents are assessed to ensure safety in intensive farming environments.	Commercial	42528	25913667
Pimephales promelas	Primarily used as bait or forage fish. In this study it's cell line is udes for research.	Research	90988	36680191
Poecilia reticulata	A popular ornamental fish species often used in research as a model system to test the efficacy of commercial products and essential oils against ectoparasitic helminths like Gyrodactylus turnbulli. It is a vital species in the hobbyist trade, and studies on it help identify effective treatments for parasitic infections that cause economic damage in fish populations.	Ornamental/Research	8081	26203884
Pontastacus leptodactylus	Commonly known as the narrow-clawed crayfish, this species plays an essential role in biomonitoring ambient water quality through its biochemical, behavioral, and physiological reactions. In this context, its purpose is to serve as an experimental bioindicator to assess cardiac stress responses (heart rate changes) to varying concentrations of chloramine-T, a biocide used in industry and aquaculture.	Other	6717	24819440
Procambarus clarkii	A main host of the white spot syndrome virus (WSSV) and serves as an important model organism for researching and developing antiviral agents to combat white spot disease (WSD) in crustacean aquaculture. Its susceptibility to WSSV makes it ideal for testing the antiviral efficiency of common drugs like acyclovir and exploring pharmacological mechanisms of immune response.	Commercial/Research	6728	34555435
Red tilapia (Oreochromis hybrid)	A hybrid fish species commonly used in aquaculture. In this study, it serves as an experimental model to investigate the effects of malachite green (MG) and its metabolite leuco-MG (LMG) residues, focusing on biochemical profiles, oxidative stress, and residue accumulation under tropical conditions. 	Commercial	743960	31749575
Rhamdia quelen	The most cultivated native fish species in Rio Grande do Sul, southern Brazil, known for its ease of handling, fast growth, and tolerance to cold. It serves as a model species in aquaculture research to evaluate the in vivo efficacy of natural extracts (such as Hesperozygis ringens leaf extract) for controlling bacterial infections, specifically Aeromonas hydrophila.	Commercial	162147	30735293
Salmo salar	A significant species in aquaculture that is frequently exposed to hydrogen peroxide treatments to manage topical skin and gill infections, such as those caused by sea lice (Lepeophtheirus salmonis) and amoebic gill disease (Neoparamoeba perurans). It serves as a model in studies investigating how daily rhythms (circadian variations) influence the absorption, metabolism, and excretion of therapeutic substances, which is critical for optimizing drug efficacy and minimizing toxicity.	Commercial/Research	8030	27058450
Salmo trutta	A migrating salmonid fish that is economically important in Poland, particularly following the extinction of Atlantic salmon in the 1980s. It serves as a model organism in research to assess how environmental pollutants, such as varying concentrations of selenium exposure during egg swelling, impact the survival rates of its embryos and fry.	Commercial/Research	8032	34679941
Sarcophyton trocheliophorum	A prevalent soft coral species found in Sanya, Hainan province, China. It serves as a model species in research investigating the impact of contamination by doxycycline hydrochloride (DOX)—an aquatic drug—on coral health by measuring physiological, biochemical, and symbiotic indicators.	Research	205097	37848653
Scylla sp. (Crab)	An aquatic animal species used in the study as a source of bacterial isolates (Vibrio spp.). Researchers utilized these isolates to evaluate the potential of C. nardus (citronella) essential oil as an alternative to commercial antibiotics for treating bacterial infections in aquaculture.	Commercial		23825733
Sebastes schlegelii	A commercially important species in aquaculture that frequently faces significant challenges due to parasitic infections, such as Microcotyle sebastis. It serves as a model organism in research to evaluate the efficacy and safety of alternative anthelmintic treatments, like levamisole hydrochloride, to combat resistant parasites and optimize disease management in aquaculture.	Commercial	214486	37889686
Seriola lalandi	An important species in aquaculture that suffers from parasitic infections, such as those caused by monogeneans. Research on this species focuses on developing effective, taste-masked delivery methods for antiparasitic medications like praziquantel (PZQ) to improve treatment compliance, as fish often avoid medicated feed due to the drug's unpalatability.	Commercial	302047	35621974
Sparus aurata	A teleost fish species widely used in aquaculture and frequently employed as a model organism in studies investigating the immunostimulatory effects of medicinal plants. Research on this species explores alternative, environmentally friendly prophylactic methods—such as the use of dihydroquercetin (from Cedrus deodara)—to enhance the fish immune system and prevent/treat diseases as an alternative to chemicals.	Commercial	8175	25530582
Sturgeon (Various species)	These fish are grown in aquaculture and are susceptible to bacterial pathologies and mechanical injuries. They were used in a study to evaluate the vulnerary (wound-healing) effect of botanical medicines specifically herbal infusions of Chelidonium majus L., Hypericum perforatum L., and Bidens tripartita L. to treat bacterial infections in a controlled environment.	Commercial		33935397
Tilapia sp.	An aquatic animal species used as a source for Edwardsiella tarda bacterial isolates. These isolates are utilized in research to evaluate the antimicrobial efficacy of natural treatments, such as Cymbopogon nardus (citronella) essential oil, as an alternative to commercial antibiotics in aquaculture.	Commercial		23825733
Trachinotus ovatus	Highly valued, edible marine fish with major commercial importance. In this study it is obtained from marine cages from local farms for research.	Commercial/Research	173339	33905159
Trichopodus pectoralis	An aquatic species that acts as a source for Edwardsiella tarda bacterial isolates. In research, these isolates are used to evaluate the antibacterial efficacy of natural treatments, such as Cymbopogon nardus (citronella) essential oil, to combat potential fish pathogens in aquaculture.	Commercial	313238	23825733
